CU_NAME,TOTAL ASSETS,TOTAL AMOUNT OF SHARES AND DEPOSITS,NO OF MEMBERS,Money Market (Amount),Number of Used Vehicle Loans,Amount of Total Share Draft,Deliquent Credit card loans (Amount) 0-180,Total number of loans and leases,Total amount of loans and leases,TOTAL AMOUNT OF SHARES,Amount of new vehicle loans,Total Number of money market shares,Amount of Used Vehicle Loans,Number of Total Share Draft,Number of new Vehicle loans,Deliquent Credit card loans (Amount) 180+,Year,Quarter
Peer Credit Union average,1949097165,1678874272,122788,392191484.6,18604.06406,299054527.4,804799.9234,70175.38594,1259125690,1526750589,153982904.9,9391.542188,253371721.2,74850.66563,7636.073438,51294.60781,2020,4
Credit union,4245800089,3611557041,218458,530169299,49785,150884481,3781290,149693,3639689031,2926933337,396280545,13602,726604973,122167,20427,98979,2020,3
State Credit Union average,193509071.1,167373547.6,14206,31654662.74,1982.75,27843365.15,80667.46479,8465.464789,123041688.3,148173480.7,14271292.31,1473.584507,26052438.06,8991.809859,771.4964789,3606.450704,2020,3
Peer Credit Union average,2076707676,1767463247,134875,406261335.7,19220.48382,301446703,1223201.39,77309.97689,1374309507,1588095061,161354290.4,10078.24653,261909457.9,84396.32203,7830.397535,42021.91525,2020,3
Credit union,4258338214,3620892631,216202,518489698,48773,154459107,815889,148894,3674533028,2821487057,383039778,13707,688508710,111198,20537,475231,2020,2
State Credit Union average,169360044.9,148827678.3,12813,24989202.73,1805.689286,27871170.77,69865.67857,7107.782143,103068483.4,130284072.7,12539732.25,827.6285714,22230181.66,7860.207143,708.0214286,5791.832143,2020,2
Peer Credit Union average,1967025583,1672561907,128261,371409624.7,18610.59184,286112525.3,1105202.336,73151.89796,1304580634,1492570796,160067123.3,9345.855573,251794006.3,80787.48038,7690.315542,43668.28257,2020,2
Credit union,4051209264,3405692855,217413,488324376,49532,134874341,1549514,153670,3640494630,2607813225,402924978,13840,701400030,111562,21293,523499,2020,1
State Credit Union average,180597972,154818669.7,14052,29737876.71,1980.939929,22555841.7,122992.5406,8259.236749,117711363.8,132713943.3,14664650.88,1508.664311,24828953.06,8363.275618,792.2402827,6415.212014,2020,1
Peer Credit Union average,1920054316,1601574627,132846,352579774.9,19447.48428,256343786.4,1874298.508,78190.29088,1335577474,1394076635,167214759.7,9724.649371,257557205.3,82414.11635,8146.150943,60344.12107,2020,1
Credit union,3777481832,3176646387,215187,479903287,48889,117035351,4803665,152329,3527630473,2403508602,413752156,14010,695715109,111746,21585,512654,2019,4
